smiles,formula,precusor_mz,level,mz,
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6HF11O2,312.9728097,1,225.9904 268.98309 312.97269 118.9928 312.98279,268.98309 118.9928 312.98279 312.97269 225.9904 
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7HF13O2,362.9696161,1,168.98911 318.9798 362.98199 118.9925,318.9798 168.98911 118.9925 362.98199 
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H2F17NO2S,497.946199,1,118.992 168.9892 477.93991 497.94659,497.94659 118.992 168.9892 477.93991 
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H6F13O4P,442.9723322,1,422.9653 442.97049 96.9693 78.9591 205.01489,96.9693 78.9591 422.9653 205.01489 442.97049 
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF15O2,412.9664226,1,168.9893 368.9761 218.9863 412.97711,168.9893 368.9761 412.97711 218.9863 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF17O3S,498.9302146,1,498.9313 118.98969 129.94914 130.95146 131.94786 161.93987 168.98598 179.94714 180.94797 181.94174 211.93752 218.981 229.94287 231.94191 261.93323 263.93176 274.95804 279.94177 281.93665 324.95624 329.93478 460.93127 218.92728 260.87363,229.94287 129.94914 498.9313 168.98598 179.94714 279.94177 261.93323 118.98969 161.93987 211.93752 231.94191 131.94786 329.93478 130.95146  218.981 460.93127 218.92728 260.87363 180.94797 181.94174 263.93176 274.95804 281.93665 324.95624 
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9HF17O2,462.963229,1,168.989 218.9859 268.9834 418.9733,418.9733 168.989 218.9859 268.9834 
O=P(O)(OCCO)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H10F13O5P,486.99855,1,78.96137 140.99508,78.96137 140.99508
O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H3F17O2,476.97888,1,192.98977 242.98199 342.97996 392.97694,392.97694 242.98199 342.97996 192.98977
O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H5F17O3S,526.96152,1,80.9688 486.95085 506.95808 526.96487,80.9688 506.95808 486.95085 526.96487
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H6F17NO2S,525.9775,1,525.97941 361.98616 268.98549 218.98555 168.98829 126.00284 118.99231 64.98886,168.98829 525.97941 218.98555 118.99231 126.00284 64.98886 361.98616 268.98549 
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10HF19O2,512.96004,1,168.99059 218.98521 268.98215 468.97021,468.97021 268.98215 218.98521 168.99059
O=C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C10HF19O4S,576.92194,1,79.95967 98.96882 180.99116 510.94156 576.92714,576.92714 79.95967 98.96882 180.99116 510.94156 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10HF21O3S,598.92383,1,79.96 98.95853 129.95574 179.95113 218.9881 229.94846 279.94625 329.94332 379.93977 598.93065,598.93065 279.94625 229.94846 79.96 129.95574 179.95113 329.94332 379.93977 98.95853 218.9881
O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H3F21O2,576.9725,1,62.99406 292.98224 492.9712,492.9712 292.98224 62.99406 
O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H5F21O3S,626.95513,1,80.96851 586.94681 606.9546 626.96123,606.9546 626.96123 80.96851 586.94681 
CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12H8F17NO4S,583.98298,1,525.98035 418.97461 268.98298 218.98642 168.98957 118.9923 82.9636,168.98957 525.98035 218.98642 418.97461 82.9636 268.98298 118.9923 
CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C13H18F9NO4S2,486.04608,1,79.95971 135.01251 152.03782 206.05033 486.04738,135.01251 486.04738 79.95971 206.05033 152.03782 
CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C13H18F9NO5S2,502.04099,1,79.9581 152.03928 206.04864 256.03213,152.03928 206.04864 256.03213 79.9581 
O=P(O)(OCCO)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C14H10F21O5P,686.98578,1,78.96168 122.99465 140.99506 454.97418,140.99506 78.96168 122.99465 454.97418
O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C14H5F25O3S,726.94875,1,80.96806 686.94229 706.95097 726.95644,706.95097 726.95644 80.96806 686.94229 
CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H18F13NO4S2,586.03969,1,79.96089 135.01292 152.03925 206.04918,135.01292 206.04918 152.03925 79.96089 
CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C15H18F13NO5S2,602.03461,1,135.01217 152.03852 206.04833 256.03084,256.03084 152.03852 206.04833 135.01217 
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16H9F26O4P,788.97506,1,78.96167 96.97173 422.9668 442.97305,96.97173 78.96167 422.9668 442.97305
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C18H9F30O4P,888.96867,1,78.96228 96.97202 422.96725 442.97356 522.9622 542.96857 888.97788,96.97202 78.96228 442.97356 422.96725 542.96857 522.9622 888.97788
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C20H9F34O4P,988.96228,1,78.96219 96.97205 422.9641 442.97227 522.96064 542.96772 642.96122 988.9719,96.97205 542.96772 78.96219 522.96064 988.9719 442.97227 422.9641 642.96122 
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C22H9F38O4P,1088.95589,1,78.96236 96.97248 522.96177 542.96822 622.95597 642.96313 1088.96675,96.97248 78.96236 542.96822 642.96313 1088.96675 522.96177 622.95597 
O=S(=O)(O)C(F)(F)C(F)(F)F,C2HF5O3S,198.94938,1,78.02749 80.06482 98.95725,80.06482 78.02749 98.95725
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,C3HF7O3S,248.94619,1,248.94956 168.99089 98.95698 79.96048,79.96048 98.95698 248.94956 168.99089 
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4H2F9NO2S,297.95898,1,63.96334 77.96809,77.96809 63.96334 
O=S(=O)(O)CCC(F)(F)C(F)(F)F,C4H5F5O3S,226.98068,1,79.96132 80.97151,79.96132 80.97151
O=C(O)C(F)(F)C(F)(F)C(F)(F)F,C4HF7O2,212.9792,1,168.98951 212.97924,168.98951 212.97924
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4HF9O3S,298.94299,1,79.96121 98.95792 298.94186,79.96121 98.95792 298.94186
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C5H2F11NO2S,347.95578,1,163.99196 126.90366 118.99197 77.96667 63.96536 59.01599,77.96667 126.90366 163.99196 118.99197 63.96536 59.01599
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C5HF11O3S,348.9398,1,348.94256 268.98564 118.99414 98.9584 79.96131 68.99977,79.96131 98.9584 348.94256 118.99414 68.99977 268.98564 
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C5HF9O2,262.97601,1,262.97614 218.9863,218.9863 262.97614 
O=C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C5HF9O4S,326.93791,1,212.97939 180.99012 146.99056 130.99429 98.95844,180.99012 146.99056 212.97939 98.95844 130.99429 
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6H2F13NO2S,397.95259,1,63.97872 69.00697 77.96728 118.9913 168.9881,77.96728 118.9913 168.9881 63.97872 69.00697 
O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6H5F9O3S,326.97429,1,79.95993 116.99702 142.99195 154.99212 182.98751 192.98966 202.9907 266.95469 286.96142 306.96799,79.95993 306.96799 154.99212 192.98966 202.9907 286.96142 182.98751 116.99702 142.99195 266.95469 
O=S(=O)(O)C(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6HClF12O3S,414.9070512,1,79.96007 98.95775 114.9274 168.98797 414.90733,79.96007 98.95775 414.90733 114.9274 168.98797 
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6HF11O2,312.97281,1,118.99368 268.98342,268.98342 118.99368 
O=C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C6HF11O4S,376.93471,1,79.96024 98.95571 130.99122 180.99213 230.98813 260.94639 376.93538,376.93538 79.96024 98.95571 130.99122 230.98813 180.99213 260.94639 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6HF13O3S,398.93661,1,398.93909 129.95519 98.95783 79.96099,79.96099 398.93909 98.95783 129.95519 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,C6HF13O4S,414.93152,1,79.96 84.99247 98.9568 134.988 184.98528 414.93425,79.96  414.93425 84.99247 134.988 98.9568 184.98528
CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7H6F9NO4S,369.98011,1,77.96875 297.95721,77.96875 297.95721
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7HF13O2,362.96962,1,118.99382 168.98953,118.99382 168.98953
O=C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C7HF13O4S,426.93152,1,79.96082 98.95666 130.99207 280.98211 310.94344 360.93748 426.93334,426.93334 79.96082 98.95666 130.99207 280.98211 310.94344 360.93748 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7HF15O3S,448.93341,1,79.96073 98.95758 118.99363 129.95425 168.98962 218.9853 229.94711 368.97989 448.93642,448.93642 79.96073 98.95758 168.98962 118.99363 129.95425 229.94711 218.9853 368.97989 
NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H2F17NO2S,497.9462,1,497.947 168.9885 77.96794,77.96794 497.947 168.9885
O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H3F13O2,376.98527,1,92.99558 142.99456 242.9871 292.98344,292.98344 242.9871 142.99456 92.99558 
O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H5F13O3S,426.96791,1,79.95924 80.96697 216.98818 254.98 282.97944 292.98251 386.95659 406.96234,80.96697 79.95924 406.96234 386.95659 292.98251 254.98 216.98818 282.97944 
CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H6F11NO4S,419.97691,1,347.95754 77.96913,77.96913 347.95754 
O=S(=O)(O)C(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HClF16O3S,514.90067,1,514.90347 279.94497 229.94701 129.95517 98.95762 79.96055,514.90347 79.96055 229.94701 129.95517 98.95762 279.94497 
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF15O2,412.96643,1,218.98729 168.9895 118.99324,168.9895 118.99324 218.98729 
O=C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C8HF15O4S,476.92833,1,476.93319 410.93718 360.94156 330.98281 310.94618 260.94771 180.98946 98.95793 79.95924,476.93319 79.95924 310.94618 260.94771 98.95793 410.93718 360.94156 180.98946 330.98281 
O=S(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF17O2S,482.9353,1,268.9819 218.98585 168.98852 118.99347 82.96167,82.96167 168.98852 118.99347 218.98585 268.9819
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF17O3S,498.93022,1,498.93247 418.97459 218.98665 168.98975 118.99299 98.9584 79.96142,498.93247 79.96142 98.9584 168.98975 218.98665 118.99299 418.97459 
CN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H6F13NO4S,469.97372,1,77.96708 377.95101 397.95438,77.96708 397.95438 377.95101 
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9HF17O2,462.96323,1,462.96499 418.97456 268.98299 218.98484 168.98883,418.97456 462.96499 218.98484 168.98883 268.98299 
O=C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C9HF17O4S,526.92513,1,526.92767 460.94351 98.95741 79.96099,526.92767 79.96099 460.94351 98.95741 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9HF19O3S,548.92703,1,79.96107 98.9579 129.95523 179.95153 229.94909 279.94537 548.93284,548.93284 229.94909 79.96107 129.95523 279.94537 179.95153 98.9579 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,C9HF19O4S,564.92194,1,564.92687 326.93897 229.94733 129.95487 98.95693 84.99325 79.95922,564.92687 79.95922 98.95693 326.93897 229.94733 129.95487 84.99325 
CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11H13F13N2O2S,483.0417355,1,64.97264 118.99099 119.01 163.055239 168.99007 318.97805 483.04181,168.99007 118.99099 483.04181 119.01 318.97805 64.97264 163.055239 
O=S(=O)(O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,C6HF11O3S,360.9397953,1,98.95577 380.97660,98.95577 380.97660
O=C(O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,C7H2F12O4,376.9688672,1,84.98926 250.97583,84.98926 250.97583
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12HF23O2,612.9536483,1,118.99161 168.98853 218.98575 268.98334 318.98010 368.97522 568.96558,168.98853 218.98575 268.98334 118.99161 318.98010 368.97522 568.96558
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C13HF25O2,662.9504548,1,118.99142 168.98848 218.98566 268.98322 318.97952 368.97720 418.97314 618.96094,168.98848 218.98566 118.99142 268.98322 318.97952 368.97720 418.97314 618.96094
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C14HF27O2,712.9472612,1,118.99145 168.98854 218.98593 268.98297 318.97971 368.97742 418.97287 468.96957 668.95886,168.98854 218.98593 118.99145 268.98297 318.97971 368.97742 418.97287 668.95886 468.96957 
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16HF31O2,812.9408741,1,118.99129 168.98849 218.98570 268.98282 318.97971 368.97601 418.97543 468.97253 518.96753 768.95453,168.98849 218.98570 268.98282 118.99129 318.97971 368.97601 418.97543 468.97253 518.96753 768.95453
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12HF25O3S,698.9174404,1,79.95609 98.95461 698.91827,698.91827 79.95609 98.95461 
CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H4F17NO2S,511.9618491,1,64.96890 82.95925 118.99131 168.98840 218.98552 268.98245 418.97122 511.96133,511.96133 168.98840 218.98552 64.96890 118.99131 82.95925 268.98245 418.97122 
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H6F17NO2S,525.9774992,1,64.96893 82.95930 118.99106 168.98845 218.98553 268.98260 418.97275 525.97729,525.97729 168.98845 218.98553 64.96893 118.99106 82.95930 268.98260 418.97275 
O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,C6HF11O3,328.9677243,1,118.99257 168.98940 184.98434 284.97800,184.98434 168.98940 118.99257 284.97800
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H5F15O2,440.9977227,1,336.98921 316.98298,336.98921 316.98298
O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H5F11O2,341.0041098,1,235.98777 216.98937,235.98777 216.98937
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C16HF34O2P,900.9098454,1,500.93540 100.96095,500.93540 100.96095
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12HF26O2P,700.9226196,1,400.94178 100.96095,400.94178 100.96095
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H6F13O4P,442.97234,1,96.96962 78.95905,96.96962 78.95905
O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H6F17O4P,542.965945,1,96.96962 78.95905,96.96962 78.95905
O=C(O)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF13O2,374.96962,1,118.99245 130.99266 168.98936 180.98949  280.98338 330.98058,118.99245 330.98058 180.98949 130.99266 280.98338 168.98936 
O=C(O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H2F14O2,394.97585,1,118.99245 130.99266 180.98949  330.98058,330.98058 118.99245 180.98949 130.99266 
